Nest Camera,1581621302.54218,-40.0
Nest Camera,1581621302.542475,-40.0
Nest Camera,1581621302.542981,-40.0
Nest Camera,1581621302.542983,-46.0
Nest Camera,1581621302.672501,-36.0
Nest Camera,1581621302.682792,-40.0
Amazon Echo,1581621302.682796,-44.0
Amazon Echo,1581621302.697769,-44.0
Nest Camera,1581621302.71693,-37.0
Amazon Echo,1581621302.760821,-43.0
Nest Camera,1581621302.76262,-40.0
Nest Camera,1581621302.772816,-40.0
Nest Camera,1581621302.772822,-40.0
Nest Camera,1581621302.772824,-40.0
Amazon Echo,1581621302.777092,-42.0
Nest Camera,1581621302.806635,-36.0
Nest Camera,1581621302.806638,-36.0
Nest Camera,1581621302.825194,-40.0
Nest Camera,1581621302.825201,-40.0
Amazon Echo,1581621302.844767,-42.0
Nest Camera,1581621302.863598,-42.0
Amazon Echo,1581621302.863599,-41.0
Nest Camera,1581621302.8636,-46.0
Nest Camera,1581621302.894335,-36.0
Amazon Echo,1581621302.920688,-42.0
Amazon Echo,1581621302.941096,-43.0
Nest Camera,1581621302.952638,-40.0
Nest Camera,1581621302.953115,-40.0
Nest Camera,1581621302.954557,-40.0
Nest Camera,1581621302.956447,-40.0
Nest Camera,1581621302.956941,-256.0
Nest Camera,1581621302.957273,-256.0
Nest Camera,1581621302.957308,-256.0
Nest Camera,1581621302.957653,-256.0
Nest Camera,1581621302.957656,-40.0
Vizio SmartTV,1581621302.97247,-45.0
Vizio SmartTV,1581621302.972473,-45.0
Vizio SmartTV,1581621302.97317,-44.0
Vizio SmartTV,1581621302.974473,-45.0
Vizio SmartTV,1581621302.983852,-44.0
Vizio SmartTV,1581621302.983859,-44.0
Vizio SmartTV,1581621302.983863,-45.0
Nest Camera,1581621302.998573,-36.0
Nest Camera,1581621302.998578,-36.0
Nest Camera,1581621302.998579,-40.0
Amazon Echo,1581621303.00084,-45.0
Vizio SmartTV,1581621303.000972,-45.0
Amazon Echo,1581621303.017577,-45.0
Nest Camera,1581621303.025973,-40.0
Vizio SmartTV,1581621303.039625,-45.0
Nest Camera,1581621303.039629,-36.0
Nest Doorbell,1581621303.040488,-40.0
Nest Doorbell,1581621303.04049,-41.0
Nest Doorbell,1581621303.040493,-40.0
Nest Doorbell,1581621303.040494,-42.0
"Canary Connect, Inc.",1581621303.040496,-41.0
Nest Doorbell,1581621303.069398,-40.0
Nest Doorbell,1581621303.069917,-40.0
"Canary Connect, Inc.",1581621303.080161,-39.0
"Canary Connect, Inc.",1581621303.081651,-38.0
Amazon Echo,1581621303.082311,-44.0
"Canary Connect, Inc.",1581621303.082476,-42.0
Nest Camera,1581621303.083183,-40.0
Google Home,1581621303.093318,-37.0
Amazon Echo,1581621303.097977,-43.0
Nest Camera,1581621303.098145,-40.0
Nest Camera,1581621303.108603,-36.0
Google Home,1581621303.122972,-36.0
Nest Camera,1581621303.137645,-40.0
Nest Camera,1581621303.137648,-40.0
Nest Camera,1581621303.137653,-36.0
Nest Camera,1581621303.137654,-40.0
Nest Camera,1581621303.137656,-40.0
Amazon Echo,1581621303.164326,-42.0
Nest Camera,1581621303.179938,-36.0
Nest Camera,1581621303.180684,-37.0
