"Canary Connect, Inc.",1581620285.678158,-43.0
Amazon Echo,1581620285.679458,-41.0
Amazon Echo,1581620285.679464,-41.0
Amazon Echo,1581620285.679466,-41.0
Nest Camera,1581620285.709175,-38.0
Nest Camera,1581620285.742235,-43.0
Amazon Echo,1581620285.759241,-40.0
Amazon Echo,1581620285.773244,-39.0
Nest Camera,1581620285.777441,-38.0
Nest Camera,1581620285.795,-42.0
SimpliSafe,1581620285.828857,-41.0
Nest Camera,1581620285.831551,-37.0
Amazon Echo,1581620285.839886,-39.0
Nest Camera,1581620285.852641,-41.0
Nest Camera,1581620285.852648,-42.0
Amazon Echo,1581620285.855673,-40.0
Nest Camera,1581620285.888182,-39.0
Nest Camera,1581620285.89085,-41.0
Amazon Echo,1581620285.919545,-39.0
Nest Camera,1581620285.926034,-38.0
Amazon Echo,1581620285.932358,-39.0
Google Home,1581620285.952394,-38.0
Vizio SmartTV,1581620285.966628,-54.0
Nest Camera,1581620285.981961,-38.0
Vizio SmartTV,1581620285.994034,-54.0
Nest Camera,1581620285.994036,-42.0
Amazon Echo,1581620285.999387,-38.0
Amazon Echo,1581620286.012823,-38.0
Amazon Echo,1581620286.012827,-38.0
Nest Camera,1581620286.032715,-38.0
SimpliSafe,1581620286.034268,-40.0
Nest Camera,1581620286.035427,-42.0
Nest Camera,1581620286.070636,-38.0
Nest Camera,1581620286.071719,-42.0
Nest Camera,1581620286.072819,-48.0
Nest Camera,1581620286.074024,-44.0
Amazon Echo,1581620286.079361,-38.0
Amazon Echo,1581620286.094877,-38.0
Nest Camera,1581620286.108159,-38.0
Amazon Echo,1581620286.108729,-38.0
Nest Camera,1581620286.112287,-42.0
Amazon Echo,1581620286.141349,-39.0
Nest Camera,1581620286.147741,-38.0
Nest Camera,1581620286.150003,-42.0
Amazon Echo,1581620286.159399,-39.0
Amazon Echo,1581620286.1729,-39.0
Nest Doorbell,1581620286.184386,-37.0
Nest Doorbell,1581620286.184395,-38.0
Nest Camera,1581620286.187356,-37.0
Nest Camera,1581620286.189635,-42.0
Nest Doorbell,1581620286.231233,-37.0
Nest Camera,1581620286.231235,-37.0
Amazon Echo,1581620286.239372,-37.0
Amazon Echo,1581620286.253307,-37.0
Nest Camera,1581620286.267283,-41.0
Nest Camera,1581620286.302359,-37.0
Nest Camera,1581620286.304844,-42.0
Amazon Echo,1581620286.332929,-38.0
Nest Camera,1581620286.345377,-38.0
Nest Camera,1581620286.385181,-39.0
Nest Camera,1581620286.390389,-42.0
Amazon Echo,1581620286.39962,-39.0
Amazon Echo,1581620286.399626,-39.0
Amazon Echo,1581620286.399628,-39.0
Amazon Echo,1581620286.39963,-39.0
